,gisjoin,lat_tract,long_tract,population,adj_radiuspop_5,urbanindex,FIPS,total_pop
1282,G0201300000100,55.59901,-130.9263,3482,83.97527,4.430522,02130,13745
1286,G0201500000100,57.66979,-153.8039,1825,34.51756,3.541468,02150,13773
1291,G0201640000100,58.64733,-156.1783,1301,189.9471,5.246746,02164,1301
1292,G0201700000101,62.46863,-150.3875,580,31.32538,3.444428,02170,101135
1316,G0201800000100,64.90262,-163.9245,5860,33.78824,3.520113,02180,9869
1318,G0201850000100,71.22942,-156.7398,4444,3.170676,1.153945,02185,9757
1321,G0201880000100,67.06481,-159.6887,4439,14.60478,2.681349,02188,7715
1323,G0201950000200,56.82229,-133.2558,3275,22.08731,3.095003,02195,3275
1324,G0201980000100,55.50041,-132.8765,2228,5562.0,8.623713,02198,6473
1327,G0202200000100,57.23729,-135.3018,3445,539.0455,6.2898,02220,8810
1329,G0202300000100,59.56179,-135.3373,1038,149.7324,5.00885,02230,1038
1330,G0202400000100,63.85668,-142.3762,2135,8.734631,2.167296,02240,6889
1332,G0202610000100,61.88393,-143.9682,1727,9.718371,2.274018,02066,1727
1333,G0202610000200,60.63869,-144.5046,3175,9.718371,2.274018,02063,7712
1335,G0202750000300,56.33211,-132.0095,2475,22.08731,3.095003,02275,2475
1336,G0202820000100,59.89281,-140.367,682,3.297679,1.193219,02282,682
1337,G0202900000100,66.85707,-144.4505,1224,3.746182,1.320737,02290,5453
1341,G0400010942600,36.74036,-109.8543,1552,163.3412,5.095841,04001,71602
1357,G0400030000100,32.18024,-109.3989,1537,123.622,4.817229,04003,126516
1389,G0400050000100,35.22661,-111.6733,3476,54836.0,10.9121,04005,138639
1417,G0400070000100,34.34302,-111.5254,2305,467.6438,6.147707,04007,53145
1433,G0400090940500,33.276,-109.9476,4641,148.0865,4.997797,04009,37700
1442,G0400110960100,33.3973,-109.2639,2715,87.07208,4.466736,04011,9368
1445,G0400120020100,33.86427,-113.6344,2158,138.2312,4.928928,04012,20628
1453,G0400130010101,33.74823,-111.7303,4915,2014.312,7.608033,04013,4155501
2366,G0400150940400,35.72573,-113.6332,1381,79.04102,4.369967,04015,204691
2409,G0400170940008,36.29182,-110.2982,1108,580.6693,6.364182,04017,107902
2440,G0400190000100,32.22086,-110.9711,834,285008.0,12.56027,04019,974584
2674,G0400210000201,33.37736,-111.2409,4837,583.2766,6.368661,04021,405537
2749,G0400230966000,31.56535,-110.6437,3057,375.2445,5.927578,04023,46358
2759,G0400250000202,34.8268,-112.3664,8530,679.404,6.521216,04025,220972
2801,G0400270000100,32.71222,-114.6181,2230,86721.0,11.37045,04027,204281
2854,G0500010480100,34.3499,-91.21635,1351,2019.584,7.610647,05001,18352
2862,G0500030960100,33.26224,-91.60737,1679,407.6492,6.010407,05003,20771
2869,G0500050950100,36.3083,-92.38159,4510,15791.0,9.667195,05005,41093
2878,G0500070020101,36.47356,-94.03982,5373,6448.0,8.771525,05007,251823
2927,G0500090790100,36.39203,-93.17963,6439,729.4492,6.592289,05009,37212
2934,G0500110950100,33.66112,-92.03589,2602,2007.907,7.604848,05011,10994
2939,G0500130480100,33.5427,-92.40705,2441,698.1678,6.54846,05013,5194
2941,G0500150950100,36.39581,-93.73066,2818,8871.0,9.090543,05015,27782
2946,G0500170080100,33.28607,-91.29949,3181,6124.0,8.719971,05017,11008
2950,G0500190953601,34.13018,-93.07273,4679,11397.0,9.341105,05019,22495
2955,G0500210950100,36.33574,-90.18729,1977,6810.0,8.826147,05021,15190
2961,G0500230480100,35.57534,-91.87115,4366,1045.411,6.952166,05023,25361
2968,G0500250970100,33.99,-92.2174,4943,761.725,6.635586,05025,8332
2970,G0500270950100,33.17488,-93.09633,4072,701.1006,6.552651,05027,23992
2975,G0500290950100,35.32878,-92.59191,5240,791.0782,6.673397,05029,20954
2981,G0500310000101,35.83589,-90.70576,3903,54941.0,10.91401,05031,104246
2998,G0500330020100,35.66709,-94.1227,6003,575.0804,6.35451,05033,57658
3003,G0500330020302,35.44526,-94.40166,4461,65762.0,11.0938,05131,131823
3009,G0500350030101,35.15082,-90.15045,2100,32391.0,10.38564,05035,49278
3029,G0500370950100,35.28532,-90.58369,1277,1703.404,7.440384,05037,17164
3035,G0500390970100,34.03419,-92.61066,1422,546.8437,6.304163,05039,7585
3038,G0500410950100,33.86622,-91.16142,1353,503.614,6.22181,05041,12094
3043,G0500430490100,33.58487,-91.59281,2223,1046.61,6.953312,05043,18620
3048,G0500450030101,35.32286,-92.39806,2962,1923.031,7.561658,05045,121282
3073,G0500470950100,35.62423,-93.87864,3905,524.45,6.26235,05047,17803
3076,G0500490550100,36.38759,-91.62699,5620,904.5677,6.807457,05049,12092
3078,G0500510010300,34.56116,-93.26064,6284,1291.31,7.163412,05051,97994
3098,G0500530470100,34.28116,-92.29282,5344,1557.512,7.350845,05053,18076
3102,G0500550480100,36.15745,-90.36023,3198,1294.678,7.166018,05055,44197
3111,G0500570480100,33.85458,-93.62047,4917,462.8839,6.137476,05057,22154
3116,G0500590020100,34.43717,-92.78432,7107,6174.0,8.728102,05059,33480
3123,G0500610950100,34.17636,-94.02362,3993,429.642,6.062953,05061,13472
3126,G0500630490100,35.85903,-91.63208,6860,5724.0,8.652423,05063,37097
3134,G0500650960100,36.1732,-91.74879,3254,714.5868,6.571704,05065,13521
3138,G0500670480100,35.78086,-91.17371,3565,550.6649,6.311126,05067,17429
3143,G0500690000102,34.44571,-91.90271,1860,1428.024,7.264047,05069,71373
3167,G0500710951700,35.6376,-93.44202,4726,697.8563,6.548013,05071,26155
3173,G0500730470100,33.41087,-93.56315,4408,589.7435,6.379688,05073,7051
3175,G0500750470100,36.09344,-90.91656,1627,7468.0,8.918383,05075,16777
3181,G0500770470100,34.78556,-90.6256,2453,1118.878,7.020082,05077,9614
3185,G0500790960300,33.90989,-91.71059,2429,1462.507,7.287907,05079,13885
3189,G0500810030101,33.6223,-94.1465,2473,1323.584,7.188099,05081,12494
