,gisjoin,lat_tract,long_tract,population,adj_radiuspop_5,urbanindex,FIPS,total_pop
26067,G1901650960100,41.68289,-95.19883,2963,5230.0,8.562166,19165,11772
26071,G1901670070100,43.14442,-95.97578,3729,1351.094,7.20867,19167,34692
26078,G1901690000100,42.06581,-93.56873,11587,30156.0,10.31414,19169,95888
26098,G1901710290100,42.13732,-92.41169,2977,586.8629,6.374791,19171,17236
26104,G1901730180100,40.81545,-94.57962,2473,582.9993,6.368186,19173,6214
26107,G1901750190100,41.07893,-94.13297,2322,776.8525,6.655251,19175,12497
26111,G1901770950100,40.81437,-91.8858,4206,722.0779,6.582133,19177,7308
26113,G1901790960100,41.10349,-92.3985,2924,9981.0,9.208439,19179,35321
26124,G1901810020100,41.50374,-93.61536,2252,66986.0,11.11224,19181,48630
26136,G1901830960100,41.45908,-91.63479,6739,793.4509,6.676392,19183,22095
26141,G1901850070100,40.80396,-93.21587,2512,608.0447,6.410248,19185,6405
26144,G1901870000100,42.52793,-94.1278,6652,20206.0,9.913734,19187,36945
26156,G1901890680100,43.38971,-93.60023,4116,1172.144,7.06659,19189,10545
26159,G1901910950100,43.39878,-91.89674,3314,1206.039,7.095097,19191,20575
26164,G1901930000100,42.51673,-96.3559,4062,83277.0,11.32993,19193,102397
26189,G1901950690100,43.45747,-93.14301,2375,1057.021,6.96321,19195,7502
26192,G1901970680100,42.85472,-93.72845,3673,942.8032,6.848857,19197,12864
26197,G2000010952600,37.87383,-95.20362,1941,631.6033,6.448261,20001,12752
26202,G2000030953600,38.31827,-95.20085,4966,585.0353,6.371672,20003,7840
26204,G2000050081600,39.52747,-95.33265,4338,830.4401,6.721956,20005,16466
26208,G2000070968100,37.36263,-98.68391,3189,296.8105,5.693094,20007,4905
26210,G2000090971100,38.49105,-98.59573,3808,707.8749,6.562267,20009,27067
26218,G2000110955600,37.95405,-94.84882,2836,725.5668,6.586953,20011,14757
26223,G2000130480600,39.86607,-95.62556,3020,6470.0,8.774931,20013,9736
26226,G2000150020100,37.8479,-96.72229,6627,1734.174,7.458286,20015,66260
26239,G2000170960600,38.30205,-96.59393,2665,186.2721,5.227209,20017,2665
26240,G2000190964600,37.15006,-96.24538,3425,196.6138,5.281241,20019,3425
26241,G2000210958100,37.26537,-94.75424,2628,1332.915,7.195123,20021,20501
26247,G2000230950200,39.78587,-101.7311,2677,102.3969,4.628857,20023,2677
26248,G2000250967100,37.23552,-99.8203,2089,124.517,4.824442,20025,2089
26249,G2000270458100,39.34879,-97.16659,3864,7340.0,8.901094,20027,8203
26251,G2000290977100,39.48336,-97.52164,2259,1263.851,7.141918,20029,9191
26255,G2000310966100,38.23688,-95.6237,2750,984.0239,6.89165,20031,8328
26258,G2000330967600,37.19128,-99.27187,1741,116.5809,4.758585,20033,1741
26259,G2000350493100,37.22046,-96.70068,3035,351.6587,5.862661,20035,35732
26270,G2000370956600,37.58188,-94.69399,4197,1247.712,7.129067,20037,39099
26281,G2000390951100,39.78394,-100.4583,1082,4810.0,8.478453,20039,2891
26283,G2000410084100,39.0401,-97.17679,4137,1238.159,7.121381,20041,19162
26289,G2000430020100,39.8198,-95.26229,2317,813.3338,6.701142,20043,7790
26292,G2000450000100,39.0126,-95.22587,2891,50073.0,10.82124,20045,117806
26314,G2000470969600,37.88667,-99.30967,1420,1697.735,7.43705,20047,2946
26316,G2000490965100,37.45369,-96.24409,2581,231.6531,5.445241,20049,2581
26317,G2000510072600,38.91667,-99.16946,2650,1822.646,7.508045,20051,28877
26323,G2000530086600,38.66852,-98.15324,2061,449.6155,6.108393,20053,6331
26325,G2000550960100,38.05278,-100.7244,4466,2038.079,7.619763,20055,37097
26337,G2000570961600,37.81134,-99.8332,2340,1418.091,7.257067,20057,34658
26344,G2000590954100,38.65,-95.35484,7040,10905.0,9.296977,20059,25599
26349,G2000610000100,39.04377,-96.81451,1963,44016.0,10.69231,20061,35796
26357,G2000630955100,38.90587,-100.3084,1678,243.2432,5.494062,20063,2632
26359,G2000650952100,39.34937,-99.88406,922,4640.0,8.44247,20065,2561
26361,G2000670963600,37.5619,-101.307,1486,9231.0,9.130322,20067,7716
26363,G2000690962600,37.91024,-100.4265,2887,231.7716,5.445753,20069,6004
26365,G2000710958100,38.48054,-101.806,1210,121.9258,4.803413,20071,1210
26366,G2000730965600,37.98894,-96.23076,2129,569.9281,6.34551,20073,6227
26369,G2000750958600,37.99915,-101.7913,2621,190.8527,5.251502,20075,2621
26370,G2000770961600,37.27689,-97.93304,1735,854.0476,6.749987,20077,5746
26373,G2000790030100,38.06825,-97.32607,4551,19760.0,9.891415,20079,34683
26379,G2000810463100,37.56225,-100.8712,4081,131.7128,4.880624,20081,4081
26380,G2000830461100,38.08748,-99.89793,1875,199.2854,5.294738,20083,1875
26381,G2000850082600,39.46023,-95.66512,5357,7103.0,8.868273,20085,13322
26384,G2000870020101,39.17582,-95.51959,5856,2271.95,7.728394,20087,18856
26388,G2000890576100,39.88291,-98.20157,964,455.8592,6.122184,20089,2963
26390,G2000910050000,39.03566,-94.61861,4979,261463.0,12.47405,20091,578797
26517,G2000930959100,38.00019,-101.3199,3931,143.7067,4.967774,20093,3931
26518,G2000950961100,37.56373,-97.95034,2515,647.8912,6.473723,20095,7576
26521,G2000970969100,37.55827,-99.28605,2524,145.2496,4.978454,20097,2524
26522,G2000990950100,37.35121,-95.22643,2786,11394.0,9.340842,20099,20553
26530,G2001010956600,38.48129,-100.4664,1702,132.1933,4.884265,20101,1702
26531,G2001030070100,39.32154,-94.91364,1679,39101.0,10.5739,20103,79359
26547,G2001050086100,39.04533,-98.2077,3121,185.1166,5.220986,20105,3121
26548,G2001070955100,38.28603,-94.83994,4756,512.8508,6.239985,20107,9602
26550,G2001090954600,38.91734,-101.1484,2790,98.14471,4.586443,20109,2790
26551,G2001110000100,38.41259,-96.1582,4991,22710.0,10.03056,20111,33302
26559,G2001130788100,38.48663,-97.49525,3107,641.6598,6.464058,20113,28792
26566,G2001150489500,38.51468,-97.11349,1779,524.3734,6.262204,20115,12087
26570,G2001170040701,39.70524,-96.40503,1747,333.6607,5.810125,20117,9859
26574,G2001190966600,37.23615,-100.3663,2554,4742.0,8.464214,20119,4295
26576,G2001210100100,38.67966,-94.94847,3400,1745.956,7.465057,20121,32976
26584,G2001230176600,39.39313,-98.02795,4370,442.2293,6.091828,20123,6230
26586,G2001250950100,37.31144,-95.76109,2047,6977.0,8.850374,20125,33463
26599,G2001270963600,38.68667,-96.65681,2923,760.9357,6.634549,20127,5605
26601,G2001290964600,37.19139,-101.7993,2931,119.2167,4.780943,20129,2931
26602,G2001310480100,39.88886,-95.8437,3414,550.5438,6.310906,20131,10095
26605,G2001330951600,37.61859,-95.21624,3525,525.1716,6.263725,20133,16209
26610,G2001350956100,38.49566,-99.91716,1335,1055.674,6.961935,20135,3001
26612,G2001370951700,39.78439,-99.90347,5527,154.175,5.038088,20137,5527
26613,G2001390010100,38.81071,-95.6054,4343,1316.088,7.182419,20139,15894
26618,G2001410474100,39.35033,-98.76799,3684,121.9128,4.803306,20141,3684
26619,G2001430085600,39.13604,-97.51487,2213,335.8331,5.816614,20143,5957
26621,G2001450970200,38.17838,-99.08757,5112,988.8623,6.896555,20145,6776
26623,G2001470475100,39.77955,-99.20215,1084,1327.785,7.191267,20147,5446
26626,G2001490000100,39.26924,-96.3913,8175,2062.409,7.63163,20149,23188
26630,G2001510968600,37.6482,-98.73929,2092,10579.0,9.266626,20151,9670
26633,G2001530950600,39.78524,-101.0757,2520,102.3025,4.627934,20153,2520
26634,G2001550000100,38.08855,-97.89319,3445,42634.0,10.66041,20155,63360
26651,G2001570978100,39.82052,-97.49964,1070,1550.954,7.346625,20157,4705
26654,G2001590967100,38.43773,-98.20325,2288,1943.837,7.572419,20159,9868
26657,G2001610000200,39.22462,-96.57677,9429,48825.0,10.796,20161,75696
26670,G2001630974600,39.43167,-99.30813,2146,340.6841,5.830956,20163,5148
26672,G2001650972100,38.52063,-99.32893,1181,1209.379,7.097862,20165,3119
26674,G2001670973800,38.89216,-98.84801,4628,2774.012,7.92805,20167,6987
26676,G2001690000100,38.84216,-97.59472,5359,49154.0,10.80271,20169,55334
26688,G2001710957100,38.48218,-100.9069,4981,132.1933,4.884265,20171,4981
26689,G2001730000100,37.7273,-97.34301,3523,167009.0,12.0258,20173,510484
26813,G2001750965600,37.19841,-100.8486,2295,713.6061,6.570331,20175,22948
26818,G2001770000400,39.03748,-95.69032,3977,114970.0,11.65243,20177,178392
26861,G2001790952600,39.34997,-100.4417,1264,4234.0,8.350903,20179,2497
26863,G2001810453600,39.35186,-101.7206,1017,7983.0,8.985069,20181,5999
26865,G2001830475800,39.77951,-98.79087,1705,4989.0,8.514991,20183,3693
26867,G2001850470600,38.05233,-98.61747,1897,397.9481,5.986321,20185,4251
26869,G2001870964100,37.56306,-101.7842,2107,131.1424,4.876284,20187,2107
26870,G2001890965100,37.19276,-101.3109,1375,7367.0,8.904766,20189,5741
26872,G2001910962100,37.40549,-97.22906,4991,1222.65,7.108776,20191,23336
26878,G2001930953100,39.38908,-101.0566,5888,4960.0,8.509161,20193,7847
26880,G2001950955800,38.91433,-99.87273,2899,155.6084,5.047342,20195,2899
26881,G2001970483100,39.03544,-96.28464,4629,568.462,6.342935,20197,6918
26883,G2001990954100,38.91666,-101.7636,1591,85.66757,4.450474,20199,1591
26884,G2002010978600,39.9076,-97.09315,3036,335.2249,5.814802,20201,5572
26886,G2002030957600,38.48208,-101.3474,2157,132.1773,4.884144,20203,2157
26887,G2002050097100,37.60302,-95.64749,2011,917.9545,6.822148,20205,8858
26891,G2002070096600,37.887,-95.74049,1721,4458.0,8.402455,20207,3178
26893,G2002090040200,39.14391,-94.64472,1246,123244.0,11.72192,20209,163227
26956,G2100010970100,37.23834,-85.16241,1630,1369.199,7.221981,21001,19304
26963,G2100030920100,36.85119,-86.16941,3031,1584.427,7.367978,21003,20628
26969,G2100050950100,38.06962,-84.89764,8571,13480.0,9.508963,21005,22017
26974,G2100070950100,37.10808,-88.95856,4611,1326.391,7.190217,21007,8152
26977,G2100090950100,37.09453,-85.8457,3309,2613.979,7.868629,21009,43418
26987,G2100110970100,38.21504,-83.87733,2018,1273.839,7.149791,21011,12189
26990,G2100130960100,36.85404,-83.58389,2454,1379.203,7.229261,21013,27469
26999,G2100150070100,39.00407,-84.63161,6733,138336.0,11.83744,21015,127682
27020,G2100170030100,38.21729,-84.23129,3948,9311.0,9.138951,21017,20017
27026,G2100190030200,38.48409,-82.6436,1125,62933.0,11.04983,21019,48486
27039,G2100210930100,37.68473,-84.75867,5355,18462.0,9.82347,21021,29773
27046,G2100230950100,38.74109,-84.00239,2458,1086.803,6.990996,21023,8330
27049,G2100250920100,37.64255,-83.35168,1283,2489.944,7.820015,21025,13276
27056,G2100270960100,37.8952,-86.37354,5081,931.9687,6.837299,21027,19991
27062,G2100290020101,38.04741,-85.56276,3782,40691.0,10.61376,21029,78622
27079,G2100310930100,37.31702,-86.6256,3245,1137.503,7.036591,21031,12735
27084,G2100330920100,37.23838,-87.93213,1920,1659.566,7.414311,21033,12747
27087,G2100350010100,36.68018,-88.17863,4351,1769.819,7.478632,21035,38616
27096,G2100370050100,39.08905,-84.50111,1656,254906.0,12.44865,21037,93412
27121,G2100390960100,36.89366,-88.87631,1662,1675.042,7.423594,21039,4890
27124,G2100410950100,38.67673,-85.03325,2945,8651.0,9.065431,21041,10695
27127,G2100430960100,38.26556,-83.26831,3271,2193.476,7.693243,21043,27385
27134,G2100450950100,37.47211,-84.95118,1408,1196.495,7.087152,21045,15805
27139,G2100470200100,36.8633,-87.48756,3962,30487.0,10.32506,21047,72438
27157,G2100490020101,37.99527,-84.20236,5461,25144.0,10.13237,21049,35757
27167,G2100510950100,37.27607,-83.65567,1919,1032.028,6.939281,21051,20866
27173,G2100530970100,36.79764,-85.12845,3115,1089.731,6.993686,21053,10208
27176,G2100550930100,37.38084,-87.98221,1850,1779.65,7.484172,21055,9154
27180,G2100570950100,36.84288,-85.42549,3891,933.286,6.838712,21057,6744
27182,G2100590000100,37.76928,-87.1507,2837,52300.0,10.86475,21059,99258
27205,G2100610920200,37.25847,-86.34055,4113,813.5123,6.701361,21061,12063
27209,G2100630920100,38.13374,-83.16365,5471,1060.4,6.966402,21063,7533
27211,G2100650920100,37.70339,-83.83751,1454,1303.441,7.172762,21065,14382
27215,G2100670000101,38.04494,-84.49438,3404,236051.0,12.3718,21067,315109
27297,G2100690920100,38.41963,-83.65752,4167,6328.0,8.75274,21069,14515
27301,G2100710920100,37.7043,-82.75109,3357,7552.0,8.929567,21071,37447
27311,G2100730070100,38.22483,-84.83521,6116,34963.0,10.46205,21073,49969
27322,G2100750960100,36.5479,-89.00042,3545,2288.782,7.735775,21075,6259
27324,G2100770960101,38.73615,-84.90198,6014,1270.017,7.146785,21077,8652
27326,G2100790970100,37.73109,-84.65549,6778,1900.7,7.549978,21079,17226
27330,G2100810920100,38.75497,-84.64523,7266,10675.0,9.27566,21081,24800
27334,G2100830020100,36.76313,-88.66502,3881,13944.0,9.542805,21083,37259
27343,G2100850950100,37.41418,-86.12876,2866,1372.422,7.224333,21085,26129
27350,G2100870930100,37.35977,-85.59541,2805,1049.801,6.956356,21087,11044
27354,G2100890040100,38.49934,-82.70273,4423,57830.0,10.96526,21089,36012
27363,G2100910960100,37.87804,-86.73898,2502,9538.0,9.163039,21091,8700
27366,G2100930000100,37.98966,-85.96545,933,8038.0,8.991936,21093,107699
27388,G2100950970100,36.95191,-82.90855,1495,6074.0,8.711773,21095,27548
27399,G2100970950100,38.51618,-84.27115,3098,1638.023,7.401246,21097,18630
27404,G2100990970100,37.37266,-85.76112,1951,1262.233,7.140637,21099,18531
27409,G2101010020100,37.8511,-87.58614,1531,29637.0,10.29678,21101,46252
27420,G2101030090100,38.5383,-85.12695,2485,2280.188,7.732013,21103,15677
27425,G2101050970100,36.67817,-88.97622,4625,905.9028,6.808932,21105,4625
27426,G2101070970100,37.46461,-87.43172,3264,889.9796,6.791198,21107,45985
27438,G2101090960100,37.45385,-83.95858,5530,984.4227,6.892056,21109,13369
27441,G2101110000200,38.27617,-85.78204,2728,208112.0,12.24583,21111,764378
27631,G2101130060101,37.90234,-84.58566,8162,31573.0,10.36006,21113,51667
27640,G2101150960100,37.90126,-82.78695,3500,2153.346,7.674778,21115,23064
27646,G2101170060300,39.08297,-84.51882,1532,265533.0,12.48949,21117,163987
27687,G2101190960100,37.44106,-82.9372,2784,2071.878,7.636211,21119,15690
27692,G2101210930100,36.9194,-83.68941,1682,1442.273,7.273975,21121,31424
27700,G2101230960101,37.65039,-85.65731,1569,1745.662,7.464889,21123,14102
27704,G2101250970100,37.19985,-84.01025,3061,2804.708,7.939055,21125,59901
27717,G2101270930100,38.16762,-82.65992,6614,1529.658,7.332799,21127,15844
27722,G2101290950100,37.6378,-83.72626,4025,1325.198,7.189317,21129,6717
27725,G2101310920100,37.17695,-83.43284,5092,693.4639,6.541699,21131,10648
27728,G2101330950100,37.19145,-82.63211,2801,7611.0,8.93735,21133,23011
27735,G2101350930100,38.5765,-83.16686,4352,1193.995,7.08506,21135,13565
27739,G2101370920101,37.49449,-84.65862,2126,2890.183,7.969075,21137,24413
27745,G2101390040100,37.28332,-88.3681,3105,692.97,6.540987,21139,9288
27747,G2101410960100,36.90894,-86.72693,5645,1696.091,7.436081,21141,26847
27753,G2101430960100,37.09042,-88.12123,6318,768.0896,6.643907,21143,8268
27755,G2101450030100,37.06466,-88.56956,1300,35934.0,10.48944,21145,65285
27772,G2101470960100,36.86034,-84.43629,2535,1251.39,7.13201,21147,17748
27776,G2101490970100,37.53568,-87.13396,2944,1488.914,7.305802,21149,9361
27779,G2101510010101,37.8274,-84.21273,2114,2252.916,7.719981,21151,88376
27798,G2101530970100,37.72882,-83.18861,1994,1429.915,7.26537,21153,12783
27802,G2101550970200,37.60088,-85.25951,4919,5117.0,8.540323,21155,19335
27808,G2101570950100,37.02309,-88.38525,5318,2906.104,7.974569,21157,31177
27814,G2101590950100,37.84788,-82.45209,3616,1758.244,7.472071,21159,12175
27817,G2101610960100,38.56456,-83.71201,3575,6368.0,8.759041,21161,17167
27822,G2101630970100,37.9371,-85.99182,1109,12131.0,9.40352,21163,28452
27830,G2101650960100,37.95288,-83.53901,3711,1271.336,7.147824,21165,6381
27832,G2101670960100,37.88091,-84.89027,4265,1530.397,7.333283,21167,21378
27837,G2101690960100,37.09888,-85.67488,2269,1113.058,7.014867,21169,9990
27840,G2101710930100,36.78578,-85.76069,1789,1472.287,7.294572,21171,10645
27844,G2101730920100,38.11518,-83.97475,3122,5929.0,8.687611,21173,27550
27850,G2101750950100,37.9397,-83.10176,2497,1276.044,7.15152,21175,13281
27855,G2101770960100,37.29639,-87.06792,1051,10578.0,9.266532,21177,31153
27864,G2101790930100,37.90661,-85.26147,3207,1240.918,7.123607,21179,45131
27873,G2101810960100,38.38757,-84.0573,2062,1217.913,7.104894,21181,7061
27875,G2101830920100,37.62796,-86.752,3021,793.7682,6.676792,21183,24062
27882,G2101850030100,38.4771,-85.41419,2275,15872.0,9.672312,21185,64633
27896,G2101870970100,38.62332,-84.89292,3407,1381.15,7.230671,21187,10686
27899,G2101890930100,37.48525,-83.66084,2641,1990.003,7.595891,21189,4497
27901,G2101910930100,38.77202,-84.3724,6817,1779.594,7.48414,21191,14530
27904,G2101930970300,37.37443,-83.19505,3241,2918.188,7.978718,21193,27329
27912,G2101950930100,37.62137,-82.48615,3191,1749.361,7.467006,21195,61586
27931,G2101970970100,37.82283,-83.76549,6408,997.665,6.905417,21197,12349
27933,G2101990930100,37.25893,-84.55215,5888,1165.469,7.060879,21199,63974
27947,G2102010970100,38.51883,-84.05203,2161,1039.385,6.946385,21201,2161
27948,G2102030950100,37.46561,-84.29239,3199,2459.311,7.807637,21203,16815
27952,G2102050950100,38.28125,-83.46317,5200,1989.443,7.59561,21205,24392
27956,G2102070960101,37.11303,-85.05025,3231,2290.157,7.736375,21207,17731
27961,G2102090040100,38.2151,-84.55014,4670,32784.0,10.3977,21209,52322
27975,G2102110040101,38.12034,-85.11464,3763,1590.877,7.372041,21211,45831
27984,G2102130970100,36.71815,-86.46761,2278,2945.96,7.98819,21213,17881
27988,G2102150080101,38.09743,-85.3392,4106,11535.0,9.353141,21215,18012
27992,G2102170920100,37.3947,-85.19983,2803,1335.965,7.197409,21217,25406
27997,G2102190950100,36.96598,-87.16653,2852,890.2801,6.791536,21219,12377
28001,G2102210970100,36.92664,-87.82315,2475,1138.439,7.037414,21221,14286
28005,G2102230100100,38.68291,-85.3763,3348,5094.0,8.535819,21223,8697
28007,G2102250950100,37.78126,-87.92286,1416,980.725,6.888292,21225,14915
28011,G2102270010100,36.99211,-86.44677,2386,75794.0,11.23577,21227,123824
28035,G2102290930100,37.83977,-85.13316,2981,1067.178,6.972773,21229,11999
28038,G2102310920100,36.91074,-84.81903,4355,8218.0,9.014082,21231,20692
28043,G2102330960100,37.5641,-87.54329,4304,1014.219,6.921874,21233,13180
28047,G2102350920100,36.94948,-84.10894,2612,26837.0,10.19754,21235,36027
28055,G2102370930100,37.73965,-83.42072,3201,1266.158,7.143743,21237,7251
28057,G2102390050103,38.04873,-84.76984,3638,19086.0,9.85671,21239,25817
28065,G2200010960100,30.41013,-92.21719,6187,1818.928,7.506002,22001,62607
28077,G2200030950100,30.68748,-92.90884,4984,484.6789,6.183486,22003,25667
28082,G2200050030101,30.31764,-90.8845,7996,37198.0,10.52401,22005,119129
28096,G2200070050100,30.03671,-91.06964,3775,6457.0,8.77292,22007,22881
28102,G2200090030100,31.13695,-91.86749,2620,478.174,6.169975,22009,41095
28111,G2200110960100,30.72355,-93.11402,6587,545.738,6.302139,22011,36598
28118,G2200130970100,32.5532,-92.92815,3630,1506.953,7.317845,22013,13806
28123,G2200150010400,32.53478,-93.74059,1391,96452.0,11.4768,22015,128568
28146,G2200170020600,32.51546,-93.76685,790,124197.0,11.72962,22017,248199
28208,G2200190000100,30.22851,-93.21332,2094,88818.0,11.39434,22019,198753
28250,G2200210000100,32.12832,-92.00034,2513,677.5177,6.518435,22021,10000
28253,G2200230970100,29.86252,-92.92546,5167,142.0033,4.955851,22023,6806
28255,G2200250000100,31.80175,-91.80418,4838,568.7454,6.343433,22025,10044
28258,G2200270950100,32.86336,-92.86008,3445,447.6042,6.103909,22027,16296
28263,G2200290000100,31.68042,-91.55983,2145,8417.0,9.038009,22029,23341
28268,G2200310950100,32.24228,-93.7512,10352,1158.296,7.054705,22031,27164
28275,G2200330000100,30.50443,-91.16092,2020,127811.0,11.75831,22033,451268
28366,G2200350000100,32.89434,-91.20895,1909,1608.186,7.382862,22035,7318
28369,G2200370951300,30.9439,-91.00336,2698,772.7221,6.64992,22037,19553
28374,G2200390950100,30.84408,-92.33307,6511,753.195,6.624324,22039,33750
28382,G2200410950100,32.30957,-91.61826,3977,548.5896,6.307351,22041,20388
28388,G2200430020100,31.68296,-92.49626,2790,666.4869,6.50202,22043,22305
28393,G2200450030100,29.99866,-91.48297,6815,873.9288,6.772999,22045,69645
28407,G2200450031600,29.66992,-91.83544,3701,465.9756,6.144133,22101,56279
28408,G2200470952600,30.44407,-91.55552,2767,1530.451,7.333318,22047,33122
28415,G2200490970100,32.32985,-92.44955,2819,1230.211,7.114941,22049,15952
28420,G2200510020101,30.01716,-90.12856,2887,261848.0,12.47552,22051,437038
28544,G2200530000100,30.3827,-92.75131,5367,802.2314,6.687397,22053,31405
28551,G2200550000100,30.22486,-92.0194,3078,127034.0,11.75221,22055,238230
28593,G2200570020100,29.79248,-90.82807,2682,37106.0,10.52153,22057,98112
28616,G2200590970100,31.85039,-92.14435,4550,843.2326,6.737243,22059,14930
28619,G2200610960100,32.68746,-92.67616,4028,930.1218,6.835316,22061,47536
28629,G2200630040100,30.5516,-90.61571,9443,2520.299,7.832133,22063,137096
28646,G2200650960100,32.35805,-91.0564,1687,1133.276,7.032867,22065,11616
28651,G2200670950100,32.90445,-91.66102,1537,482.3218,6.178612,22067,26290
28659,G2200690000100,31.99398,-93.01009,2043,1115.173,7.016765,22069,39051
28668,G2200710000100,29.95311,-90.05207,2811,357127.0,12.78585,22071,388182
28842,G2200730000100,32.52043,-92.12324,4790,75206.0,11.22799,22073,156433
28881,G2200750050100,29.49239,-89.57758,1564,1469.836,7.292906,22075,23394
28889,G2200770951900,30.70385,-91.47427,5494,4479.0,8.407155,22077,22271
28895,G2200790010100,31.38099,-92.20479,9880,1185.397,7.077833,22079,132080
28928,G2200810960100,32.10268,-93.34177,4620,1877.356,7.53762,22081,8723
28930,G2200830970100,32.45152,-91.49979,2953,5153.0,8.547335,22083,20619
28936,G2200850000100,31.76784,-93.61049,3111,931.1075,6.836375,22085,24145
28943,G2200870030103,29.87553,-89.88867,4881,13501.0,9.510519,22087,45067
28960,G2200890060100,30.03288,-90.42576,2164,21399.0,9.9711,22089,52728
28973,G2200910951100,30.91045,-90.71031,3733,621.795,6.432611,22091,10509
28975,G2200930040100,30.10813,-90.68456,3757,12299.0,9.417274,22093,21485
28982,G2200950070100,30.18081,-90.49068,2489,2021.118,7.611406,22095,43565
28993,G2200970960100,30.77722,-91.89516,2709,737.3572,6.603073,22097,83580
29012,G2200990020100,30.22589,-91.62912,5352,586.8829,6.374825,22099,53609
29039,G2201030040102,30.49259,-89.84638,9103,1136.24,7.03548,22103,249201
29081,G2201050953200,30.93635,-90.41273,2781,1637.351,7.400835,22105,128850
29101,G2201070000100,32.09571,-91.18186,1819,475.2415,6.163823,22107,2797
29103,G2201070000300,31.85294,-91.32236,1974,582.4165,6.367186,28063,9437
29104,G2201090000101,29.73452,-90.83806,5926,26733.0,10.19365,22109,113067
29125,G2201110960100,32.90903,-92.27824,4303,592.782,6.384827,22111,22537
29131,G2201130950100,30.08343,-92.22279,10273,1772.728,7.480275,22113,59841
29143,G2201150950100,31.236,-93.03153,5496,633.8625,6.451832,22115,51906
29155,G2201170950101,30.90049,-89.80442,3639,1526.052,7.33044,22117,46449
29166,G2201190031100,32.90373,-93.30459,1894,1421.649,7.259573,22119,40043
29177,G2201210020100,30.45212,-91.20709,4273,90704.0,11.41536,22121,20417
29182,G2201230000100,32.92908,-91.39158,4667,802.4429,6.687661,22123,11274
29185,G2201250951701,30.89681,-91.40504,3531,1196.886,7.087478,22125,15376
29188,G2201270960100,31.99337,-92.49858,3134,838.8037,6.731977,22127,14631
29192,G2300010010100,44.09258,-70.22815,1541,60612.0,11.01225,23001,107317
29220,G2300030950100,47.01837,-68.23517,2397,487.809,6.189924,23003,68840
29244,G2300050000100,43.66967,-70.25017,2019,104017.0,11.55231,23005,289173
29310,G2300070970101,44.99228,-70.28413,1774,378.4368,5.936049,23007,30177
29319,G2300090965100,44.8892,-68.21925,2014,248.4204,5.515122,23009,54468
29336,G2300110010100,44.34164,-69.69576,5085,11173.0,9.321256,23011,121289
29367,G2300130970200,44.23003,-69.09161,4837,6357.0,8.757312,23013,39700
29377,G2300150975100,44.21155,-69.54075,5304,1482.053,7.301183,23015,34021
29386,G2300170965100,44.84269,-70.91278,1128,356.2012,5.875496,23017,57230
29403,G2300190000200,44.80398,-68.76401,3113,43252.0,10.6748,23019,152284
29449,G2300210960301,45.47011,-69.6385,1756,428.4275,6.060122,23021,16960
29457,G2300230970100,44.12365,-69.82885,3394,7243.0,8.887791,23023,35149
29465,G2300250965301,45.6498,-70.20277,882,756.0391,6.628093,23025,50994
29482,G2300270041000,44.6587,-68.91242,3871,2582.749,7.85661,23027,39280
29490,G2300290955100,45.20151,-67.78568,2759,428.527,6.060354,23029,31822
29503,G2300310005100,43.55315,-70.48221,4732,36289.0,10.49927,23031,201454
29543,G2400010000100,39.63444,-78.51018,3520,872.3187,6.771155,24001,74691
29566,G2400030701101,38.93959,-76.58147,4059,86105.0,11.36332,24003,564600
29670,G2400050400100,39.2679,-76.70518,4610,339089.0,12.73402,24005,828637
29881,G2400090860101,38.72283,-76.67718,3168,15248.0,9.632204,24009,90824
29899,G2400110955000,39.07775,-75.7891,3452,1934.694,7.567705,24011,32785
29908,G2400130501001,39.67098,-77.13771,4312,14921.0,9.610525,24013,167319
29946,G2400150030100,39.41489,-75.89371,4738,1503.691,7.315678,24015,102416
29965,G2400170850101,38.65643,-77.0872,5859,41167.0,10.62539,24017,156021
29995,G2400190970100,38.56033,-75.79947,2729,1505.302,7.316749,24019,32386
30004,G2400210740200,39.48441,-77.37032,4783,55082.0,10.91658,24021,246105
30065,G2400230000100,39.64859,-79.38326,3910,815.6441,6.703978,24023,29516
30072,G2400250301102,39.50205,-76.26767,3696,102537.0,11.53798,24025,250132
30129,G2400270601103,39.20565,-76.76772,6516,163944.0,12.00728,24027,312495
30184,G2400290950100,39.30923,-75.83263,3779,1438.698,7.271493,24029,19666
30189,G2400310700101,39.22279,-77.16808,4413,124392.0,11.73119,24031,1039198
30404,G2400330800102,39.10608,-76.85695,2633,171474.0,12.05219,24033,905161
30622,G2400350810100,39.21838,-75.92744,3086,2106.086,7.652586,24035,49071
30633,G2400370875000,38.45545,-76.70153,6494,8835.0,9.086476,24037,110979
30650,G2400390930101,38.21488,-75.64032,6985,2332.512,7.754701,24039,25801
30657,G2400410960100,38.86461,-76.01073,4268,7885.0,8.972717,24041,37461
30667,G2400430000100,39.65549,-77.69991,3250,80568.0,11.29686,24043,155732
30699,G2400450000100,38.3723,-75.58324,6211,58929.0,10.98409,24045,102014
30718,G2400470950000,38.34556,-75.08145,1675,14915.0,9.610123,24047,51559
30733,G2405100010100,39.28069,-76.57387,3201,484432.0,13.09073,24510,619796
30932,G2500010010100,42.06124,-70.19836,2952,1267.733,7.144986,25001,213900
30988,G2500030900100,42.4517,-73.2529,3128,45656.0,10.72889,25003,127751
